id,source,campaign,claim_or_fix,source_evidence,head_status_272f216c,runtime_evidence,decision
LED-024,Master checklist §6,pass3,lit16 22s register decode,K-05 bug class,ONE-NIBBLE-OFF at 272f216c (read >>8/>>4),pass3 DR group negative-divisor cases FAIL pre-fix PASS post-fix,VERIFIED_MISSING
LED-025,Master checklist §6,pass3,invented SHL/SHR/USHR_INT_LIT16 opcodes 0xD8..0xDA,pass2 constants,invalid opcodes (not in Dalvik) colliding with lit8,audit value-check clean after fix; 0xD8..0xDA now lit8 add/rsub/mul,VERIFIED_MISSING
LED-026,Master checklist §6,pass3,REM_DOUBLE_2ADDR=0xD0 collision with ADD_INT_LIT16,header constants,collision at 272f216c,audit: REM_DOUBLE_2ADDR now 0xCF; 0xD0 unambiguous,VERIFIED_MISSING
LED-027,Pass-3 fixture,pass3,aget-byte/char/short typed elements zeroed,ARRAY_GET_CASE,make_int(0) for non-INT32 elems at 272f216c,st_bulk_read aget-byte 0 -> 67 ('C') after normalize,VERIFIED_MISSING
LED-028,Pass-3 fixture,pass3,NEW_ARRAY length field name inconsistency (__new_array_length__),NEW_ARRAY executor,inconsistent at 272f216c,read([B) bulk count 16 + aget OK after canonical __array_length__ added,VERIFIED_MISSING
LED-029,Master checklist §12,pass3,AtomicReference CAS/get/set/getAndSet,pass3 audit,ABSENT from src at 272f216c (zero hits),pass3 AR group 7/7 (identity discriminator + null),VERIFIED_MISSING
LED-030,Master checklist §11,pass3,XmlPullParser real event machine + termination,pass3 audit,ABSENT from src at 272f216c,pass3 X group 7/7 (event sequence + typed XmlPullParserException),VERIFIED_MISSING
LED-031,Master checklist §11,pass3,InputStream.read/available/close real bytes,EXP-071 comment (old read returned 0),read()=0 stub at 272f216c,pass3 ST group 5/5 vs independent unzip oracle,VERIFIED_MISSING
LED-032,Pass-2 FIX-05 comment,pass2,parseInt 2^31 boundary,parse bridge,2147483648 wrapped to INT_MIN at 272f216c,ps_parseInt_overflow_throws_nfe PASS after fix,VERIFIED_MISSING
LED-033,FIX-05 documented TODO,pass2,NaN/Infinity word forms in parse*,FIX-05 comment (documented TODO),rejected at 272f216c,ps_parseDouble_nan_word + infinity PASS after fix,VERIFIED_MISSING
LED-034,TOOL-CLAIM-4A39F1B,011.2,commit 4a39f1b / "176-176" work exists,git cat-file + all refs + archives,absent from every artifact,RECOVERED_11_1_TO_HEAD_DELTA §2,REJECTED_WITH_EVIDENCE
LED-035,CAMPAIGN-012 tag,v0.12 era,f5da664 / "v0.12.0" release exists,campaign reports,absent from remote+DAG+ZIPs (three-way evidence),GIT_PROVENANCE_RESOLUTION.md (K-27),REJECTED_WITH_EVIDENCE
LED-036,reflog b5d2140,pass1,amended-away commit holds unique work,git reflog,docs-only (MAIN_CODER_INTEGRATION.md draft),diff vs 0fd1ad6 = 3-line doc edit; content preserved,SUPERSEDED_BY_LATER_FIX
LED-037,Campaign-014 session,c014,runtime code commits for v0.14.0,campaign logs,lost with workspace; only triage evidence survives,docs/campaign014_evidence (16 apps),BLOCKED_BY_MISSING_ARTIFACT
LED-038,Telegram golden APK,K-26,SHA f5e11927 baseline re-assertion,downloader logs,APK lost in cache wipe; upstream serves newer bytes,matrix row NOT REPRODUCED (documented),BLOCKED_BY_MISSING_ARTIFACT
LED-039,droidify.apk,pass2/3,corpus validation row,corpus run,exit=1 (truncated 5MiB download),corpus_screenshots.txt (recorded not counted),BLOCKED_BY_MISSING_ARTIFACT
LED-040,MiniAndroid_v0.14.0_GIT_HANDOFF.zip,delivery,complete v0.14.0 handoff,delivery manifest,0-byte ZIP (interrupted packaging),archive_scan.json, BLOCKED_BY_MISSING_ARTIFACT
LED-041,MiniAndroid_FULL_VALIDATION_HANDOFF_6c9a91e.zip,delivery,full-validation handoff,delivery manifest,0-byte ZIP (interrupted packaging),archive_scan.json,BLOCKED_BY_MISSING_ARTIFACT
LED-042,GAP matrix DEX-WIDE-ARITH,011.3,"long/double arith, shifts, const-wide, switch, fill-array-data integrated",gap matrix,INTEGRATED,pass3 fixture + audit confirm,DUPLICATE
LED-043,GAP matrix APP-GMDICE-L13,gap matrix,gmdice second-frame delta,gap matrix §F,dup of GFX-FRAME2-RUNTIMEVIEWS,gap matrix,DUPLICATE
LED-044,GAP matrix APP-WA-MATRIX-DUP,gap matrix,WhatsApp entry chain (dup),gap matrix,same as APP-WA-ENTRY,gap matrix,DUPLICATE
LED-045,GAP matrix APP-GLES-GAME-DUP,gap matrix,GLES game need (dup),gap matrix,same as GFX-GLES,gap matrix,DUPLICATE
LED-046,K-24/NOT_DONE #5,c013+,"Compose composition hook (dooz blank frame)",COMPOSE_REPORT_013,deterministic blank 31ddd4d5,matrix (unchanged, SHA stable),NEEDS_RUNTIME_PROOF
LED-047,K-25/NOT_DONE #6,c008+,"GLES dispatch hook (PortableGL glue present)",GLES_REPORT_013,glue present; render loop not wired,golden cube standalone,NEEDS_RUNTIME_PROOF
LED-048,NOT_DONE #7-9,c013+,layout geometry/fonts/audio boundaries,NOT_DONE,documented,NOT_DONE,NEEDS_RUNTIME_PROOF
LED-049,GAP matrix §E APIs,c011+,"SharedPreferences/SQLite/multidex/ListView/Intent/lifecycle subsets",gap matrix,INTEGRATED subsets,matrix + [PREFS] logs + telegram 5-DEX,VERIFIED_IMPLEMENTED
LED-050,APP-CORPUS-DEFAULT,c011+,entry-chain gap apps (simplekeyboard/openlauncher),gap matrix,unchanged at HEAD,corpus run eb16ab5c rows (documented),NEEDS_RUNTIME_PROOF
LED-051,GAME CHANGER PHASE8-10,game-changer,"Open-source source & tool intelligence: HELPER_SOURCE_LIST.md 66 entries, 60 categories, P0×13/P1×23/P2×26/P3×4, self-reviewed (PHASE 9)",HELPER_SOURCE_LIST.md + MASTER_PROJECT_KNOWLEDGE K-43 section,PRESENT (registered this pass),n/a (knowledge artifact),VERIFIED_IMPLEMENTED
